pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
2	2	20190810	2	3.0	0.5	2.5	0.5
2	2	20190809	2	2.83	0.75	2.0	1.0
2	2	20190808	4	2.83	0.75	2.5	1.0
2	4	20190807	4	2.83	0.75	3.0	1.0
4	4	20190806	2	2.67	1.0	3.0	1.0
4	2	20190805	2	2.67	1.0	3.0	1.0
2	2	20190803	1	2.43	1.0	3.0	1.0
2	1	20190802	3	2.29	1.33	2.0	1.0
1	3	20190801	2	2.29	1.33	2.0	1.0
3	2	20190731	3	2.29	1.33	2.0	1.0
2	3	20190730	1	2.25	1.0	2.0	1.0
3	1	20190729	1	2.25	1.0	2.0	1.0
1	1	20190727	2	2.25	1.0	2.0	1.0
1	2	20190726	2	2.12	1.5	2.0	1.5
2	2	20190725	2	2.11	1.0	2.0	1.0
2	2	20190724	1	2.11	1.0	2.0	1.0
2	1	20190723	1	2.38	0.5	2.5	0.5
1	1	20190722	2	2.29	1.33	2.0	1.0
1	2	20190720	1	2.14	1.67	2.0	1.0
2	1	20190719	2	2.29	1.33	2.0	2.0
1	2	20190718	1	2.25	1.0	2.0	1.0
2	1	20190717	1	2.57	0.67	2.0	0.0
1	1	20190716	4	2.86	0.0	2.0	0.0
1	4	20190715	2	2.71	0.33	2.0	0.0
4	2	20190713	1	2.57	0.67	2.0	1.0
2	1	20190712	3	2.67	1.0	2.0	1.0
1	3	20190711	1	2.5	1.25	2.0	1.0
3	1	20190710	2	2.6	1.4	2.0	1.0
1	2	20190709	4	2.4	1.6	2.0	1.0
2	4	20190708	2	2.4	1.6	2.0	1.0
4	2	20190706	1	2.17	1.75	2.0	1.5
2	1	20190705	2	2.17	1.75	1.5	1.5
