targetTrend	pred2ndNext	pred1rstNext	predWillFollowIncreaseCapacity	DrawId	Feat-UniverseLength-Over10	Feat-UniverseLength-Over10-didFollowIncreaseCapacity	Feat-UniverseLength-Over10-LastMovingDirection	Feat-UniverseLength-Over10-ShortMovingDirectionBalance	Feat-UniverseLength-Over10-PreviousLastMovingDirection	Feat-UniverseLength-Over10-LargerMovingDirectionBalance	Feat-UniverseLength-Over10-sameValueSerie	Feat-UniverseLength-Over10-greaterThanSerie	Feat-UniverseLength-Over10-lowerThanSerie	Feat-UniverseLength-Over10-CanIncreaseOf	Feat-UniverseLength-Over10-CanDecreaseOf	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
-70	-1	-1	None	20191206	6	False	1	-5	-1	-50	2	6	2	1	0	2.83	0.75	3.0	0.5
-35	-1	6	False	20191205	6	True	1	-5	-1	-50	1	5	1	1	0	2.83	0.75	3.0	0.5
10	6	6	True	20191204	5	False	-1	2	-1	20	2	2	40	1	0	3.2	0.8	3.0	0.0
5	6	5	False	20191203	5	False	-1	0	-1	0	1	1	39	1	0	3.0	1.0	3.0	0.0
-10	5	5	False	20191202	6	False	-1	7	1	70	2	2	7	0	-1	2.67	1.0	2.0	0.5
-5	5	6	False	20191130	6	False	-1	7	1	70	1	1	6	1	0	2.5	1.25	2.0	0.5
-10	6	6	False	20191129	7	True	1	-2	0	-20	1	11	1	0	-1	2.57	0.67	2.0	1.0
5	6	7	True	20191128	6	True	0	2	1	20	4	9	4	1	0	2.83	0.75	2.5	1.0
5	7	6	True	20191127	6	False	1	-5	0	-50	3	8	3	0	-1	2.67	1.0	2.5	1.0
0	6	6	False	20191126	6	False	1	-4	0	-40	2	7	2	1	0	2.67	1.0	3.0	1.0
0	6	6	False	20191125	6	True	1	-4	0	-40	1	6	1	1	0	2.5	1.25	2.5	1.0
10	6	6	True	20191123	5	False	-1	5	-1	50	3	3	31	1	0	3.0	1.0	4.0	1.0
5	6	5	False	20191122	5	False	-1	2	-1	20	2	2	30	1	0	2.8	1.2	3.0	1.0
0	5	5	False	20191121	5	False	-1	-4	-1	-40	1	1	29	1	0	2.8	1.2	3.0	1.0
-10	5	5	False	20191120	6	False	-1	2	-1	20	2	2	26	0	-1	2.33	1.5	2.5	1.5
-5	5	6	False	20191119	6	False	-1	0	-1	0	1	1	25	1	0	2.33	1.5	2.0	1.5
-10	6	6	False	20191118	7	False	-1	7	1	70	1	1	15	0	-1	2.29	1.33	2.0	1.0
-15	6	7	False	20191116	8	True	1	-4	0	-40	1	98	1	0	-1	2.38	0.5	2.0	0.5
5	7	8	True	20191115	7	False	-1	7	1	70	3	3	13	1	0	2.57	0.67	3.0	1.0
5	8	7	False	20191114	7	True	-1	5	1	50	2	2	12	1	0	2.43	1.0	2.0	1.0
0	7	7	True	20191113	7	False	-1	5	1	50	1	1	11	0	-1	2.43	1.0	2.0	1.0
-10	7	7	False	20191112	8	True	1	-4	-1	-40	1	94	1	0	-1	2.25	1.0	2.0	1.0
5	7	8	True	20191111	7	False	-1	5	1	50	1	1	9	1	0	2.14	1.67	2.0	2.0
-5	8	7	False	20191109	8	True	1	-5	-1	-50	1	92	1	0	-1	2.25	1.0	2.0	1.0
5	7	8	True	20191108	7	True	-1	4	0	40	2	2	7	1	0	2.29	1.33	2.0	1.0
5	8	7	True	20191107	7	False	-1	4	0	40	1	1	6	0	-1	2.43	1.0	2.0	1.0
-10	7	7	False	20191106	8	False	1	-5	1	-50	3	89	3	0	-1	2.38	0.5	2.0	0.5
-5	7	8	False	20191105	8	False	1	-2	1	-20	2	88	2	1	0	2.25	1.0	2.0	1.0
0	8	8	False	20191104	8	True	1	0	1	0	1	87	1	1	0	2.25	1.0	2.0	1.0
10	8	8	True	20191102	7	False	1	-7	-1	-70	2	26	2	1	0	2.57	0.67	2.0	1.0
5	8	7	False	20191101	7	True	1	-7	-1	-70	1	25	1	1	0	2.57	0.67	2.0	1.0
10	7	7	True	20191031	6	False	-1	2	0	20	1	1	9	1	0	2.67	1.0	2.0	1.0
-5	7	6	False	20191030	7	False	0	0	0	0	7	23	7	0	-1	2.43	1.0	1.0	1.0
-5	6	7	False	20191029	7	True	0	0	0	0	6	22	6	1	0	2.43	1.0	2.0	1.0
0	7	7	True	20191028	7	True	0	0	1	0	5	21	5	0	-1	2.57	0.67	2.0	0.0
0	7	7	True	20191026	7	False	0	2	1	20	4	20	4	0	-1	2.57	0.67	2.0	0.0
0	7	7	False	20191025	7	True	1	-4	1	-40	3	19	3	1	0	2.57	0.67	2.0	0.0
0	7	7	True	20191024	7	False	1	0	1	0	2	18	2	0	-1	2.57	0.67	2.0	0.0
0	7	7	False	20191023	7	True	1	5	1	50	1	17	1	1	0	2.57	0.67	2.0	0.0
10	7	7	True	20191022	6	True	1	0	1	0	1	15	1	1	0	3.0	0.5	2.5	0.0
15	7	6	True	20191021	5	False	1	-5	-1	-50	2	13	2	1	0	3.2	0.8	3.0	0.0
5	6	5	False	20191019	5	True	1	-4	-1	-40	1	12	1	1	0	3.0	1.0	3.0	0.0
10	5	5	True	20191018	4	False	-1	5	1	50	1	1	708	1	0	3.5	1.0	3.5	0.0
-5	5	4	False	20191017	5	True	1	-5	-1	-50	1	10	1	0	-1	3.6	0.4	3.0	0.0
5	4	5	True	20191016	4	False	-1	4	0	40	2	2	706	1	0	4.25	0.5	4.0	0.5
5	5	4	False	20191015	4	False	-1	2	0	20	1	1	705	1	0	4.0	0.67	4.0	1.0
-10	4	4	False	20191014	5	False	0	0	0	0	7	7	158	0	-1	3.2	0.8	3.0	1.0
-5	4	5	False	20191012	5	True	0	0	0	0	6	6	157	1	0	3.2	0.8	2.0	1.0
0	5	5	True	20191011	5	False	0	0	-1	0	5	5	156	0	-1	3.2	0.8	2.0	1.0
0	5	5	False	20191010	5	False	0	-2	-1	-20	4	4	155	1	0	3.2	0.8	2.0	1.0
0	5	5	False	20191009	5	False	-1	4	-1	40	3	3	154	1	0	3.0	1.0	2.0	1.0
0	5	5	False	20191008	5	False	-1	-2	-1	-20	2	2	153	1	0	2.8	1.2	2.0	1.0
0	5	5	False	20191007	5	False	-1	-5	-1	-50	1	1	152	1	0	2.6	1.4	2.0	1.0
-10	5	5	False	20191005	6	False	-1	2	-1	20	1	1	43	0	-1	2.33	1.5	1.5	1.5
-15	5	6	False	20191004	7	False	-1	12	1	120	1	1	3	0	-1	2.29	1.33	2.0	1.0
-15	6	7	False	20191003	8	True	1	4	1	40	1	60	1	0	-1	2.38	0.5	2.5	0.5
5	7	8	True	20191002	7	True	1	-2	0	-20	1	20	1	1	0	2.71	0.33	3.0	0.0
