targetTrend	pred2ndNext	pred1rstNext	predWillFollowIncreaseCapacity	DrawId	Feat-UniverseLength-Over10	Feat-UniverseLength-Over10-didFollowIncreaseCapacity	Feat-UniverseLength-Over10-LastMovingDirection	Feat-UniverseLength-Over10-ShortMovingDirectionBalance	Feat-UniverseLength-Over10-PreviousLastMovingDirection	Feat-UniverseLength-Over10-LargerMovingDirectionBalance	Feat-UniverseLength-Over10-sameValueSerie	Feat-UniverseLength-Over10-greaterThanSerie	Feat-UniverseLength-Over10-lowerThanSerie	Feat-UniverseLength-Over10-CanIncreaseOf	Feat-UniverseLength-Over10-CanDecreaseOf	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
5	7	6	False	20191023	6	False	0	-2	-1	-20	4	4	12	1	0	2.5	1.25	2.0	1.0
0	6	6	False	20191022	6	False	-1	5	0	50	3	3	11	1	0	2.33	1.5	2.0	1.0
0	6	6	False	20191021	6	True	-1	4	0	40	2	2	10	1	0	2.17	1.75	2.0	1.0
0	6	6	True	20191019	6	False	-1	4	0	40	1	1	9	0	-1	2.5	1.25	2.0	0.0
-10	6	6	False	20191018	7	False	1	-5	-1	-50	3	17	3	0	-1	2.71	0.33	2.0	0.0
-5	6	7	False	20191017	7	False	1	-5	-1	-50	2	16	2	1	0	2.71	0.33	2.0	0.0
0	7	7	False	20191016	7	True	1	-4	-1	-40	1	15	1	1	0	2.71	0.33	2.0	0.0
10	7	7	True	20191015	6	True	-1	7	1	70	2	2	5	1	0	2.83	0.75	2.0	1.0
5	7	6	True	20191014	6	False	-1	10	1	100	1	1	4	0	-1	2.83	0.75	2.0	1.0
-10	6	6	False	20191012	7	True	1	2	1	20	1	12	1	0	-1	2.57	0.67	2.0	1.0
5	6	7	True	20191011	6	False	1	-5	-1	-50	2	5	2	1	0	2.67	1.0	2.5	1.0
5	7	6	False	20191010	6	True	1	-7	-1	-70	1	4	1	1	0	2.67	1.0	2.5	1.0
10	6	6	True	20191009	5	False	-1	0	-1	0	2	2	42	1	0	2.8	1.2	3.0	1.0
5	6	5	False	20191008	5	False	-1	-4	-1	-40	1	1	41	1	0	2.6	1.4	2.0	1.0
-10	5	5	False	20191007	6	False	-1	2	0	20	1	1	15	0	-1	2.5	1.25	2.0	1.0
-15	5	6	False	20191005	7	False	0	0	0	0	6	6	13	0	-1	2.29	1.33	2.0	1.0
-5	6	7	False	20191004	7	True	0	0	-1	0	5	5	12	1	0	2.29	1.33	2.0	1.0
0	7	7	True	20191003	7	True	0	-2	-1	-20	4	4	11	0	-1	2.57	0.67	3.0	1.0
0	7	7	True	20191002	7	True	-1	7	1	70	3	3	10	0	-1	2.57	0.67	3.0	1.0
0	7	7	True	20191001	7	False	-1	7	1	70	2	2	9	0	-1	2.43	1.0	3.0	1.0
0	7	7	False	20190930	7	False	-1	5	1	50	1	1	8	1	0	2.29	1.33	2.0	1.0
-10	7	7	False	20190928	8	True	1	-4	-1	-40	1	27	1	0	-1	2.25	1.0	2.0	1.0
5	7	8	True	20190927	7	False	-1	7	1	70	2	2	6	1	0	2.57	0.67	3.0	1.0
5	8	7	False	20190926	7	False	-1	7	1	70	1	1	5	1	0	2.57	0.67	3.0	1.0
-10	7	7	False	20190925	8	True	1	0	0	0	1	24	1	0	-1	2.38	0.5	2.5	0.5
5	7	8	True	20190924	7	True	1	-4	1	-40	3	22	3	1	0	2.71	0.33	3.0	0.0
5	8	7	True	20190923	7	False	1	-2	1	-20	2	21	2	0	-1	2.57	0.67	3.0	1.0
0	7	7	False	20190921	7	True	1	0	1	0	1	20	1	1	0	2.57	0.67	2.0	1.0
10	7	7	True	20190920	6	True	1	-5	-1	-50	1	9	1	1	0	2.83	0.75	2.5	1.0
15	7	6	True	20190919	5	False	-1	4	1	40	1	1	25	1	0	3.0	1.0	3.0	1.0
-5	6	5	False	20190918	6	False	1	-5	-1	-50	2	7	2	0	-1	2.67	1.0	2.5	1.0
-5	5	6	False	20190917	6	True	1	-4	-1	-40	1	6	1	1	0	2.5	1.25	2.0	1.5
10	6	6	True	20190916	5	False	-1	5	1	50	1	1	22	1	0	2.8	1.2	3.0	1.0
-5	6	5	False	20190914	6	True	1	-7	-1	-70	1	4	1	0	-1	2.33	1.5	2.0	2.0
5	5	6	True	20190913	5	False	-1	0	-1	0	2	2	20	1	0	2.8	1.2	3.0	2.0
5	6	5	False	20190912	5	False	-1	-4	-1	-40	1	1	19	1	0	2.8	1.2	3.0	2.0
-10	5	5	False	20190911	6	False	-1	4	0	40	1	1	17	0	-1	2.5	1.25	2.5	1.5
-15	5	6	False	20190910	7	False	1	-5	-1	-50	3	10	3	0	-1	2.43	1.0	2.0	1.0
-5	6	7	False	20190909	7	False	1	-5	-1	-50	2	9	2	1	0	2.29	1.33	2.0	1.0
0	7	7	False	20190907	7	True	1	-4	-1	-40	1	8	1	1	0	2.14	1.67	2.0	2.0
10	7	7	True	20190906	6	False	-1	7	1	70	2	2	13	1	0	2.17	1.75	2.0	1.5
5	7	6	False	20190905	6	False	-1	7	1	70	1	1	12	1	0	2.0	2.0	2.0	2.0
-10	6	6	False	20190904	7	True	1	-4	0	-40	1	5	1	0	-1	1.86	2.33	2.0	3.0
5	6	7	True	20190903	6	True	-1	4	-1	40	3	3	10	1	0	2.0	2.0	2.0	2.0
5	7	6	True	20190902	6	False	-1	-2	-1	-20	2	2	9	0	-1	1.83	2.25	2.0	2.5
0	6	6	False	20190831	6	False	-1	-5	-1	-50	1	1	8	1	0	1.67	2.5	2.0	3.0
-10	6	6	False	20190830	7	False	-1	2	-1	20	1	1	5	0	-1	1.86	2.33	2.0	3.0
-15	6	7	False	20190829	8	False	-1	14	1	140	1	1	3	0	-1	1.88	2.5	2.0	2.5
-15	7	8	False	20190828	9	True	1	7	1	70	1	628	1	0	-1	2.11	1.0	2.0	1.0
5	8	9	True	20190827	8	True	1	5	1	50	1	22	1	1	0	2.25	1.0	2.0	1.0
15	9	8	True	20190826	7	True	1	4	1	40	1	20	1	1	0	2.43	1.0	2.0	1.0
15	8	7	True	20190824	6	False	1	2	1	20	2	14	2	1	0	2.83	0.75	3.0	0.5
5	7	6	False	20190823	6	True	1	5	1	50	1	13	1	1	0	2.67	1.0	2.5	1.0
10	6	6	True	20190822	5	True	1	-2	1	-20	1	9	1	1	0	3.0	1.0	4.0	1.0
15	6	5	True	20190821	4	True	1	-12	-1	-120	1	3	1	1	0	3.75	0.83	4.5	0.5
15	5	4	True	20190820	3	False	-1	-4	-1	-40	1	1	657	1	0	4.67	0.86	5.0	1.0
-5	4	3	False	20190819	4	False	-1	2	0	20	1	1	656	0	-1	3.5	1.0	4.0	1.0
-15	3	4	False	20190817	5	False	0	0	-1	0	5	5	118	0	-1	3.4	0.6	3.0	1.0
-5	4	5	False	20190816	5	False	0	-2	-1	-20	4	4	117	1	0	3.4	0.6	4.0	1.0
0	5	5	False	20190815	5	False	-1	7	1	70	3	3	116	1	0	3.2	0.8	3.0	1.0
0	5	5	False	20190814	5	False	-1	5	1	50	2	2	115	1	0	3.0	1.0	3.0	1.0
0	5	5	False	20190813	5	False	-1	2	1	20	1	1	114	1	0	2.8	1.2	3.0	1.0
-10	5	5	False	20190812	6	True	1	-12	-1	-120	1	3	1	0	-1	2.67	1.0	2.0	1.0
5	5	6	True	20190810	5	False	-1	-4	-1	-40	1	1	112	1	0	3.0	1.0	2.0	1.0
-5	6	5	False	20190809	6	False	-1	2	0	20	1	1	46	0	-1	2.67	1.0	2.0	1.0
-15	5	6	False	20190808	7	True	0	0	-1	0	5	5	13	0	-1	2.43	1.0	2.0	1.0
-5	6	7	True	20190807	7	False	0	-2	-1	-20	4	4	12	0	-1	2.43	1.0	2.0	1.0
0	7	7	False	20190806	7	False	-1	4	-1	40	3	3	11	1	0	2.29	1.33	2.0	1.0
0	7	7	False	20190805	7	False	-1	0	-1	0	2	2	10	1	0	2.29	1.33	2.0	1.0
0	7	7	False	20190803	7	False	-1	-1	-1	-10	1	1	9	1	0	2.29	1.33	2.0	1.0
-10	7	7	False	20190802	8	False	-1	5	1	50	1	1	5	0	-1	2.12	1.5	2.0	1.5
-15	7	8	False	20190801	9	False	1	-1	1	-10	2	605	2	0	-1	2.11	1.0	2.0	1.0
-5	8	9	False	20190731	9	True	1	2	1	20	1	604	1	1	0	2.11	1.0	2.0	1.0
10	9	9	True	20190730	8	True	1	-4	0	-40	2	22	2	1	0	2.25	1.0	2.0	1.0
5	9	8	True	20190729	8	True	1	0	0	0	1	21	1	0	-1	2.25	1.0	2.0	1.0
10	8	8	True	20190727	7	True	1	-7	-1	-70	3	8	3	1	0	2.14	1.67	2.0	1.0
5	8	7	True	20190726	7	False	1	-7	-1	-70	2	7	2	0	-1	2.14	1.67	2.0	1.0
0	7	7	False	20190725	7	True	1	-7	-1	-70	1	6	1	1	0	2.0	2.0	2.0	2.0
10	7	7	True	20190724	6	False	-1	2	0	20	1	1	32	1	0	2.0	2.0	2.0	2.0
-5	7	6	False	20190723	7	True	0	-2	-1	-20	4	4	9	0	-1	1.86	2.33	2.0	3.0
-5	6	7	True	20190722	7	False	-1	5	1	50	3	3	8	0	-1	2.29	1.33	2.0	1.0
0	7	7	False	20190720	7	False	-1	5	1	50	2	2	7	1	0	2.29	1.33	2.0	1.0
0	7	7	False	20190719	7	False	-1	5	1	50	1	1	6	1	0	2.14	1.67	2.0	1.0
-10	7	7	False	20190718	8	True	1	-4	0	-40	2	12	2	0	-1	2.12	1.5	2.0	1.5
-5	7	8	True	20190717	8	True	1	0	0	0	1	11	1	0	-1	2.25	1.0	2.0	1.0
10	8	8	True	20190716	7	True	1	-5	-1	-50	3	7	3	1	0	2.43	1.0	2.0	1.0
5	8	7	True	20190715	7	False	1	-5	-1	-50	2	6	2	0	-1	2.43	1.0	2.0	1.0
0	7	7	False	20190713	7	True	1	-5	-1	-50	1	5	1	1	0	2.43	1.0	3.0	1.0
10	7	7	True	20190712	6	False	-1	2	-1	20	2	2	22	1	0	2.67	1.0	3.0	1.0
5	7	6	False	20190711	6	False	-1	-2	-1	-20	1	1	21	1	0	2.67	1.0	2.5	1.0
-10	6	6	False	20190710	7	True	-1	4	0	40	2	2	19	0	-1	2.43	1.0	2.0	1.0
-5	6	7	True	20190709	7	False	-1	0	0	0	1	1	18	0	-1	2.43	1.0	3.0	1.0
-10	7	7	False	20190708	8	False	-1	8	1	80	3	3	10	0	-1	2.25	1.0	2.0	1.0
-5	7	8	False	20190706	8	False	-1	8	1	80	2	2	9	1	0	2.12	1.5	2.0	1.5
0	8	8	False	20190705	8	False	-1	5	1	50	1	1	8	1	0	2.12	1.5	2.0	1.5
-10	8	8	False	20190704	9	True	1	-5	-1	-50	1	581	1	0	-1	2.11	1.0	2.0	1.0
5	8	9	True	20190703	8	True	-1	4	0	40	2	2	6	1	0	2.25	1.0	2.0	1.0
5	9	8	True	20190702	8	False	-1	4	0	40	1	1	5	0	-1	2.25	1.0	2.0	1.0
-10	8	8	False	20190701	9	True	1	-4	1	-40	3	578	3	0	-1	2.11	1.0	2.0	1.0
-5	8	9	True	20190629	9	True	1	0	1	0	2	577	2	0	-1	2.11	1.0	2.0	1.0
0	9	9	True	20190628	9	True	1	4	1	40	1	576	1	0	-1	2.11	1.0	1.0	1.0
10	9	9	True	20190627	8	True	1	-4	0	-40	1	133	1	1	0	2.38	0.5	2.0	0.5
15	9	8	True	20190626	7	False	-1	7	1	70	3	3	7	1	0	2.71	0.33	3.0	0.0
5	8	7	False	20190625	7	True	-1	7	1	70	2	2	6	1	0	2.71	0.33	3.0	0.0
0	7	7	True	20190624	7	False	-1	7	1	70	1	1	5	0	-1	2.57	0.67	3.0	0.0
-10	7	7	False	20190622	8	True	1	0	0	0	1	129	1	0	-1	2.5	0.0	2.5	0.0
5	7	8	True	20190621	7	False	1	-4	1	-40	3	46	3	1	0	2.71	0.33	3.0	0.0
5	8	7	False	20190620	7	True	1	-2	1	-20	2	45	2	1	0	2.57	0.67	3.0	1.0
0	7	7	True	20190619	7	True	1	0	1	0	1	44	1	0	-1	2.57	0.67	3.0	0.0
10	7	7	True	20190618	6	True	1	-7	-1	-70	1	8	1	1	0	2.83	0.75	3.0	0.5
15	7	6	True	20190617	5	False	-1	2	0	20	1	1	65	1	0	2.8	1.2	3.0	1.0
-5	6	5	False	20190615	6	False	0	0	0	0	6	6	11	0	-1	2.5	1.25	2.5	1.0
-5	5	6	False	20190614	6	True	0	0	-1	0	5	5	10	1	0	2.33	1.5	2.0	1.5
0	6	6	True	20190613	6	False	0	-2	-1	-20	4	4	9	0	-1	2.33	1.5	2.5	1.5
0	6	6	False	20190612	6	False	-1	7	1	70	3	3	8	1	0	2.33	1.5	2.0	1.5
0	6	6	False	20190611	6	False	-1	7	1	70	2	2	7	1	0	2.17	1.75	2.0	2.0
0	6	6	False	20190610	6	False	-1	7	1	70	1	1	6	1	0	2.17	1.75	2.5	2.0
-10	6	6	False	20190608	7	True	1	-2	0	-20	1	35	1	0	-1	2.29	1.33	2.0	2.0
5	6	7	True	20190607	6	True	0	2	1	20	4	19	4	1	0	2.33	1.5	2.5	1.5
5	7	6	True	20190606	6	True	1	-5	-1	-50	3	18	3	0	-1	2.5	1.25	3.0	1.5
0	6	6	True	20190605	6	False	1	-5	-1	-50	2	17	2	0	-1	2.83	0.75	3.0	0.5
0	6	6	False	20190604	6	True	1	-5	-1	-50	1	16	1	1	0	2.83	0.75	3.0	0.5
10	6	6	True	20190603	5	True	-1	4	0	40	2	2	53	1	0	2.6	1.4	3.0	1.0
5	6	5	True	20190601	5	False	-1	2	0	20	1	1	52	0	-1	3.0	1.0	3.0	1.0
-10	5	5	False	20190531	6	False	0	0	0	0	11	13	11	0	-1	2.83	0.75	2.5	0.5
-5	5	6	False	20190530	6	True	0	0	0	0	10	12	10	1	0	2.67	1.0	2.5	1.0
0	6	6	True	20190529	6	False	0	0	0	0	9	11	9	0	-1	2.83	0.75	2.5	0.5
0	6	6	False	20190528	6	False	0	0	0	0	8	10	8	1	0	2.83	0.75	2.5	0.5
0	6	6	False	20190527	6	False	0	0	0	0	7	9	7	1	0	2.67	1.0	2.5	1.0
0	6	6	False	20190525	6	False	0	0	0	0	6	8	6	1	0	2.5	1.25	2.0	1.0
0	6	6	False	20190524	6	True	0	0	1	0	5	7	5	1	0	2.5	1.25	2.0	1.0
0	6	6	True	20190523	6	False	0	2	1	20	4	6	4	0	-1	2.67	1.0	2.0	0.5
0	6	6	False	20190522	6	False	1	-7	-1	-70	3	5	3	1	0	2.67	1.0	2.0	0.5
0	6	6	False	20190521	6	False	1	-10	-1	-100	2	4	2	1	0	2.67	1.0	2.0	0.5
0	6	6	False	20190520	6	True	1	-10	-1	-100	1	3	1	1	0	2.5	1.25	2.0	1.0
10	6	6	True	20190518	5	False	-1	2	-1	20	1	1	40	1	0	2.8	1.2	2.0	1.0
-5	6	5	False	20190517	6	False	-1	12	1	120	1	1	3	0	-1	2.67	1.0	2.5	1.0
-15	5	6	False	20190516	7	True	1	2	1	20	1	15	1	0	-1	2.29	1.33	2.0	1.0
5	6	7	True	20190515	6	True	1	-7	-1	-70	1	4	1	1	0	2.5	1.25	2.5	1.0
15	7	6	True	20190514	5	False	-1	2	-1	20	2	2	36	1	0	2.4	1.6	2.0	2.0
5	6	5	False	20190513	5	False	-1	-2	-1	-20	1	1	35	1	0	2.2	1.8	2.0	2.0
-10	5	5	False	20190511	6	False	-1	5	1	50	1	1	19	0	-1	2.17	1.75	2.0	1.5
-15	5	6	False	20190510	7	True	1	-4	-1	-40	1	10	1	0	-1	2.14	1.67	2.0	1.0
5	6	7	True	20190509	6	False	-1	7	1	70	1	1	17	1	0	2.33	1.5	2.0	1.0
-5	7	6	False	20190508	7	True	1	-4	0	-40	1	8	1	0	-1	2.43	1.0	2.0	1.0
5	6	7	True	20190507	6	False	-1	7	1	70	3	3	15	1	0	2.5	1.25	2.0	1.0
5	7	6	False	20190506	6	True	-1	7	1	70	2	2	14	1	0	2.33	1.5	2.0	1.5
0	6	6	True	20190504	6	False	-1	5	1	50	1	1	13	0	-1	2.5	1.25	2.0	1.5
-10	6	6	False	20190503	7	True	1	-7	-1	-70	1	4	1	0	-1	2.29	1.33	2.0	2.0
5	6	7	True	20190502	6	False	-1	0	-1	0	2	2	11	1	0	2.17	1.75	2.0	2.0
5	7	6	False	20190501	6	False	-1	-4	-1	-40	1	1	10	1	0	2.0	2.0	2.0	2.0
-10	6	6	False	20190430	7	False	-1	4	0	40	1	1	8	0	-1	2.0	2.0	2.0	2.0
-15	6	7	False	20190429	8	True	1	-5	0	-50	3	82	3	0	-1	2.25	1.0	2.0	1.0
-5	7	8	True	20190427	8	False	1	-4	0	-40	2	81	2	0	-1	2.25	1.0	2.0	1.0
0	8	8	False	20190426	8	True	1	-2	0	-20	1	80	1	1	0	2.12	1.5	2.0	1.5
10	8	8	True	20190425	7	False	0	2	1	20	4	49	4	1	0	2.29	1.33	2.0	1.0
5	8	7	False	20190424	7	True	1	-4	1	-40	3	48	3	1	0	2.29	1.33	2.0	1.0
0	7	7	True	20190423	7	True	1	0	1	0	2	47	2	0	-1	2.29	1.33	1.0	1.0
0	7	7	True	20190422	7	True	1	4	1	40	1	46	1	0	-1	2.57	0.67	2.0	1.0
10	7	7	True	20190420	6	True	1	-4	0	-40	1	7	1	1	0	3.0	0.5	2.5	0.5
15	7	6	True	20190419	5	False	-1	5	0	50	3	3	15	1	0	3.6	0.4	3.0	0.0
5	6	5	False	20190418	5	False	-1	4	0	40	2	2	14	1	0	3.6	0.4	3.0	0.0
0	5	5	False	20190417	5	False	-1	0	0	0	1	1	13	1	0	3.6	0.4	3.0	0.0
-10	5	5	False	20190416	6	True	-1	7	1	70	3	3	11	0	-1	3.17	0.25	2.5	0.0
-5	5	6	True	20190415	6	False	-1	7	1	70	2	2	10	0	-1	3.0	0.5	2.0	0.0
0	6	6	False	20190413	6	False	-1	5	1	50	1	1	9	1	0	2.83	0.75	2.0	0.0
-10	6	6	False	20190412	7	True	1	-5	-1	-50	1	38	1	0	-1	2.86	0.0	2.0	0.0
5	6	7	True	20190411	6	False	-1	4	0	40	2	2	7	1	0	3.0	0.5	2.0	0.5
5	7	6	False	20190410	6	False	-1	2	0	20	1	1	6	1	0	3.0	0.5	2.5	0.5
-10	6	6	False	20190409	7	False	0	2	1	20	4	35	4	0	-1	2.57	0.67	1.0	1.0
-5	6	7	False	20190408	7	False	1	-4	1	-40	3	34	3	1	0	2.43	1.0	1.0	1.0
0	7	7	False	20190406	7	False	1	2	1	20	2	33	2	1	0	2.43	1.0	1.0	1.0
0	7	7	False	20190405	7	True	1	7	1	70	1	32	1	1	0	2.43	1.0	2.0	1.0
10	7	7	True	20190404	6	True	1	2	1	20	1	13	1	1	0	2.67	1.0	2.5	1.0
15	7	6	True	20190403	5	True	1	-5	-1	-50	1	8	1	1	0	3.0	1.0	3.0	1.0
15	6	5	True	20190402	4	False	-1	4	0	40	2	2	537	1	0	3.75	0.83	3.5	0.5
5	5	4	False	20190401	4	False	-1	2	0	20	1	1	536	1	0	3.5	1.0	3.0	1.0
-10	4	4	False	20190330	5	False	0	0	-1	0	5	5	20	0	-1	3.0	1.0	3.0	1.0
-5	4	5	False	20190329	5	True	0	-2	-1	-20	4	4	19	1	0	3.0	1.0	3.0	1.0
0	5	5	True	20190328	5	False	-1	5	0	50	3	3	18	0	-1	2.8	1.2	3.0	1.0
0	5	5	False	20190327	5	False	-1	4	0	40	2	2	17	1	0	2.8	1.2	3.0	1.0
0	5	5	False	20190326	5	False	-1	2	0	20	1	1	16	1	0	2.8	1.2	3.0	1.0
-10	5	5	False	20190325	6	True	0	-2	-1	-20	4	4	9	0	-1	2.67	1.0	2.5	0.5
-5	5	6	True	20190323	6	False	-1	7	1	70	3	3	8	0	-1	3.17	0.25	3.5	0.0
0	6	6	False	20190322	6	False	-1	7	1	70	2	2	7	1	0	3.17	0.25	3.0	0.0
0	6	6	False	20190321	6	False	-1	7	1	70	1	1	6	1	0	3.17	0.25	3.0	0.0
-10	6	6	False	20190320	7	True	1	-2	0	-20	1	18	1	0	-1	2.86	0.0	3.0	0.0
5	6	7	True	20190319	6	True	0	2	1	20	4	16	4	1	0	3.33	0.0	3.5	0.0
5	7	6	True	20190318	6	False	1	-7	-1	-70	3	15	3	0	-1	3.33	0.0	3.0	0.0
0	6	6	False	20190316	6	False	1	-7	-1	-70	2	14	2	1	0	3.17	0.25	3.0	0.0
0	6	6	False	20190315	6	True	1	-7	-1	-70	1	13	1	1	0	3.0	0.5	3.0	0.5
10	6	6	True	20190314	5	False	-1	2	0	20	1	1	6	1	0	3.0	1.0	3.0	1.0
-5	6	5	False	20190313	6	False	0	2	1	20	4	11	4	0	-1	2.67	1.0	3.0	1.0
-5	5	6	False	20190312	6	False	1	-4	1	-40	3	10	3	1	0	2.67	1.0	2.5	1.0
0	6	6	False	20190311	6	False	1	0	1	0	2	9	2	1	0	2.67	1.0	2.5	1.0
0	6	6	False	20190309	6	True	1	2	1	20	1	8	1	1	0	2.67	1.0	2.5	1.0
10	6	6	True	20190308	5	True	1	-7	-1	-70	1	4	1	1	0	2.6	1.4	2.0	1.0
15	6	5	True	20190307	4	False	-1	2	-1	20	2	2	515	1	0	3.0	1.33	3.0	1.0
5	5	4	False	20190306	4	False	-1	-2	-1	-20	1	1	514	1	0	2.75	1.5	2.5	1.0
-10	4	4	False	20190305	5	False	-1	2	1	20	1	1	170	0	-1	2.6	1.4	3.0	1.0
-15	4	5	False	20190304	6	True	1	-14	-1	-140	1	3	1	0	-1	2.33	1.5	2.5	1.0
5	5	6	True	20190302	5	False	-1	-7	-1	-70	1	1	168	1	0	2.6	1.4	3.0	1.0
-5	6	5	False	20190301	6	False	-1	-2	-1	-20	1	1	40	0	-1	2.5	1.25	2.0	1.0
-15	5	6	False	20190228	7	False	-1	7	1	70	1	1	4	0	-1	2.57	0.67	2.0	1.0
-15	6	7	False	20190227	8	False	1	0	1	0	2	30	2	0	-1	2.38	0.5	2.0	0.5
-5	7	8	False	20190226	8	True	1	4	1	40	1	29	1	1	0	2.38	0.5	2.0	0.5
10	8	8	True	20190225	7	True	1	-4	0	-40	1	6	1	1	0	2.43	1.0	2.0	1.0
15	8	7	True	20190223	6	False	-1	5	-1	50	3	3	35	1	0	2.67	1.0	2.5	1.0
5	7	6	False	20190222	6	False	-1	2	-1	20	2	2	34	1	0	2.67	1.0	2.5	1.0
0	6	6	False	20190221	6	False	-1	-2	-1	-20	1	1	33	1	0	2.67	1.0	2.5	1.0
-10	6	6	False	20190220	7	False	-1	5	1	50	2	2	7	0	-1	2.43	1.0	2.0	1.0
-5	6	7	False	20190219	7	False	-1	5	1	50	1	1	6	1	0	2.43	1.0	2.0	1.0
