targetTrend	pred2ndNext	pred1rstNext	predWillFollowIncreaseCapacity	DrawId	Feat-UniverseLength-Over10	Feat-UniverseLength-Over10-didFollowIncreaseCapacity	Feat-UniverseLength-Over10-LastMovingDirection	Feat-UniverseLength-Over10-ShortMovingDirectionBalance	Feat-UniverseLength-Over10-PreviousLastMovingDirection	Feat-UniverseLength-Over10-LargerMovingDirectionBalance	Feat-UniverseLength-Over10-sameValueSerie	Feat-UniverseLength-Over10-greaterThanSerie	Feat-UniverseLength-Over10-lowerThanSerie	Feat-UniverseLength-Over10-CanIncreaseOf	Feat-UniverseLength-Over10-CanDecreaseOf	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
-80	-1	-1	None	20191206	7	False	1	-5	-1	-50	2	7	2	1	0	2.43	1.0	2.0	1.0
-40	-1	7	False	20191205	7	True	1	-5	-1	-50	1	6	1	1	0	2.43	1.0	3.0	1.0
10	7	7	True	20191204	6	True	-1	4	0	40	2	2	17	1	0	2.5	1.25	3.0	1.5
5	7	6	True	20191203	6	False	-1	0	0	0	1	1	16	0	-1	2.33	1.5	3.0	2.0
-10	6	6	False	20191202	7	False	-1	5	0	50	3	3	14	0	-1	2.29	1.33	2.0	2.0
-5	6	7	False	20191130	7	True	-1	4	0	40	2	2	13	1	0	2.29	1.33	2.0	2.0
0	7	7	True	20191129	7	False	-1	4	0	40	1	1	12	0	-1	2.43	1.0	2.0	1.0
-10	7	7	False	20191128	8	False	1	-5	-1	-50	3	18	3	0	-1	2.38	0.5	2.0	0.5
-5	7	8	False	20191127	8	True	1	-5	-1	-50	2	17	2	1	0	2.38	0.5	2.0	0.5
0	8	8	True	20191126	8	True	1	-4	-1	-40	1	16	1	0	-1	2.38	0.5	2.0	0.5
10	8	8	True	20191125	7	True	-1	7	1	70	2	2	8	1	0	2.29	1.33	2.0	1.0
5	8	7	True	20191123	7	False	-1	7	1	70	1	1	7	0	-1	2.29	1.33	2.0	1.0
-10	7	7	False	20191122	8	True	1	-2	0	-20	1	13	1	0	-1	2.25	1.0	2.5	1.0
5	7	8	True	20191121	7	False	0	0	1	0	5	11	5	1	0	2.43	1.0	3.0	1.0
5	8	7	False	20191120	7	True	0	2	1	20	4	10	4	1	0	2.43	1.0	3.0	1.0
0	7	7	True	20191119	7	False	1	-4	1	-40	3	9	3	0	-1	2.57	0.67	3.0	1.0
0	7	7	False	20191118	7	False	1	0	1	0	2	8	2	1	0	2.43	1.0	2.0	1.0
0	7	7	False	20191116	7	True	1	2	1	20	1	7	1	1	0	2.29	1.33	2.0	1.0
10	7	7	True	20191115	6	True	1	-5	-1	-50	1	5	1	1	0	2.33	1.5	2.0	1.5
15	7	6	True	20191114	5	True	-1	2	-1	20	2	2	73	1	0	2.6	1.4	3.0	1.0
5	6	5	True	20191113	5	False	-1	-4	-1	-40	1	1	72	0	-1	2.8	1.2	3.0	1.0
-10	5	5	False	20191112	6	False	-1	-2	-1	-20	2	2	29	0	-1	2.5	1.25	2.0	1.0
-5	5	6	False	20191111	6	False	-1	-10	-1	-100	1	1	28	1	0	2.5	1.25	2.5	1.0
-10	6	6	False	20191109	7	False	-1	-5	-1	-50	1	1	11	0	-1	2.29	1.33	2.0	1.0
-15	6	7	False	20191108	8	False	-1	1	-1	10	1	1	5	0	-1	2.0	2.0	2.0	2.0
-15	7	8	False	20191107	9	False	-1	14	1	140	1	1	3	0	-1	2.0	2.0	2.0	2.0
-15	8	9	False	20191106	10	True	1	8	1	80	1	724	1	0	-1	2.0	0.0	2.0	0.0
5	9	10	True	20191105	9	True	1	4	1	40	1	687	1	1	0	2.11	1.0	2.0	1.0
15	10	9	True	20191104	8	True	1	-4	0	-40	1	58	1	1	0	2.25	1.0	2.0	1.0
15	9	8	True	20191102	7	False	-1	7	1	70	3	3	5	1	0	2.43	1.0	2.0	1.0
5	8	7	False	20191101	7	True	-1	10	1	100	2	2	4	1	0	2.29	1.33	2.0	1.0
0	7	7	True	20191031	7	False	-1	10	1	100	1	1	3	0	-1	2.43	1.0	2.0	1.0
-10	7	7	False	20191030	8	True	1	0	1	0	1	54	1	0	-1	2.38	0.5	2.0	0.5
5	7	8	True	20191029	7	True	1	-5	-1	-50	1	26	1	1	0	2.57	0.67	2.0	1.0
15	8	7	True	20191028	6	False	-1	5	1	50	1	1	16	1	0	2.67	1.0	2.5	1.0
-5	7	6	False	20191026	7	False	1	-4	0	-40	2	24	2	0	-1	2.29	1.33	2.0	2.0
-5	6	7	False	20191025	7	True	1	-2	0	-20	1	23	1	1	0	2.29	1.33	2.0	2.0
10	7	7	True	20191024	6	False	0	0	-1	0	5	5	13	1	0	2.67	1.0	2.0	1.0
