pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
-10	-10	20191206	2	2.29	1.33	2.0	2.0
-10	2	20191205	1	2.12	1.5	2.0	1.5
2	1	20191204	2	2.5	0.0	2.5	0.0
1	2	20191203	2	2.38	0.5	2.0	0.5
2	2	20191202	2	2.38	0.5	2.0	0.5
2	2	20191130	2	2.38	0.5	2.5	0.5
2	2	20191129	1	2.25	1.0	2.0	1.0
2	1	20191128	1	2.29	1.33	2.0	1.0
1	1	20191127	2	2.67	1.0	2.5	1.0
1	2	20191126	3	2.67	1.0	3.0	1.0
2	3	20191125	2	2.57	0.67	3.0	1.0
3	2	20191123	3	2.57	0.67	3.0	1.0
2	3	20191122	1	2.57	0.67	3.0	1.0
3	1	20191121	1	2.43	1.0	3.0	1.0
1	1	20191120	2	2.83	0.75	3.0	0.5
1	2	20191119	2	2.83	0.75	3.0	0.5
2	2	20191118	1	2.57	0.67	3.0	0.0
2	1	20191116	3	2.67	1.0	3.0	0.5
1	3	20191115	1	2.67	1.0	3.0	0.5
3	1	20191114	2	2.5	1.25	2.5	0.5
1	2	20191113	2	2.71	0.33	3.0	0.0
2	2	20191112	3	2.57	0.67	2.0	1.0
2	3	20191111	1	2.57	0.67	2.0	1.0
3	1	20191109	1	2.67	1.0	2.5	1.0
1	1	20191108	2	2.33	1.5	2.0	2.0
1	2	20191107	1	2.33	1.5	2.5	2.0
2	1	20191106	2	2.5	1.25	2.5	1.0
1	2	20191105	1	2.5	1.25	2.0	1.0
2	1	20191104	2	2.5	1.25	2.0	1.0
1	2	20191102	4	2.5	1.25	2.5	1.0
2	4	20191101	3	2.33	1.5	2.5	1.0
4	3	20191031	1	2.43	1.0	3.0	1.0
3	1	20191030	3	2.83	0.75	3.0	1.0
1	3	20191029	1	2.67	1.0	3.0	1.0
3	1	20191028	2	3.0	1.0	3.0	1.0
1	2	20191026	2	2.67	1.0	2.5	1.0
2	2	20191025	2	2.5	1.25	2.0	1.0
2	2	20191024	2	2.5	1.25	2.0	1.0
2	2	20191023	1	2.43	1.0	2.0	1.0
2	1	20191022	2	2.67	1.0	2.0	1.0
1	2	20191021	4	2.67	1.0	2.0	1.0
2	4	20191019	2	2.43	1.0	2.0	1.0
4	2	20191018	2	2.29	1.33	2.0	1.0
2	2	20191017	3	2.12	1.5	1.5	1.5
2	3	20191016	1	2.12	1.5	1.5	1.5
3	1	20191015	3	2.43	1.0	2.0	1.0
1	3	20191014	1	2.29	1.33	2.0	1.0
3	1	20191012	3	2.33	1.5	2.0	1.5
1	3	20191011	1	2.33	1.5	2.0	1.5
3	1	20191010	3	2.67	1.0	2.0	1.0
1	3	20191009	2	2.67	1.0	2.0	1.0
3	2	20191008	1	2.67	1.0	2.5	1.0
2	1	20191007	1	2.67	1.0	2.5	1.0
1	1	20191005	2	2.33	1.5	1.5	1.5
1	2	20191004	4	2.33	1.5	1.5	1.5
2	4	20191003	1	2.29	1.33	2.0	1.0
4	1	20191002	3	2.5	1.25	2.0	0.5
1	3	20191001	1	2.5	1.25	2.0	0.5
3	1	20190930	3	3.0	0.5	2.5	0.5
1	3	20190928	2	2.71	0.33	2.0	0.0
3	2	20190927	2	2.71	0.33	2.0	0.0
2	2	20190926	1	2.71	0.33	2.0	0.0
2	1	20190925	1	2.83	0.75	2.5	0.5
1	1	20190924	2	3.0	1.0	2.0	1.0
1	2	20190923	2	2.83	0.75	2.5	0.5
2	2	20190921	2	2.43	1.0	2.0	1.0
2	2	20190920	1	2.43	1.0	2.0	1.0
2	1	20190919	4	2.67	1.0	2.5	1.0
1	4	20190918	1	2.67	1.0	2.5	1.0
4	1	20190917	1	3.0	0.5	3.0	0.5
1	1	20190916	3	3.0	1.0	2.0	1.0
1	3	20190914	2	2.8	1.2	2.0	1.0
3	2	20190913	4	2.8	1.2	3.0	1.0
2	4	20190912	2	2.6	1.4	3.0	2.0
4	2	20190911	1	2.33	1.5	2.0	1.5
2	1	20190910	1	2.5	1.25	2.0	1.0
1	1	20190909	4	2.5	1.25	2.0	1.0
1	4	20190907	3	2.5	1.25	2.5	1.0
4	3	20190906	2	2.5	1.25	2.0	1.0
3	2	20190905	2	2.29	1.33	2.0	1.0
2	2	20190904	1	2.29	1.33	2.0	1.0
2	1	20190903	1	2.33	1.5	2.0	1.5
1	1	20190902	1	2.33	1.5	2.0	1.5
1	1	20190831	2	2.4	1.6	2.0	2.0
1	2	20190830	2	2.33	1.5	2.0	1.5
2	2	20190829	3	2.14	1.67	2.0	2.0
2	3	20190828	2	2.12	1.5	2.0	1.5
3	2	20190827	1	2.0	2.0	2.0	2.0
2	1	20190826	2	2.0	2.0	2.0	2.0
1	2	20190824	1	2.0	2.0	2.0	2.0
2	1	20190823	1	2.0	2.0	2.0	2.0
1	1	20190822	1	2.0	2.0	2.0	2.0
1	1	20190821	1	2.14	1.67	2.0	1.0
1	1	20190820	2	2.0	2.0	2.0	2.0
1	2	20190819	1	2.0	2.0	2.0	1.0
2	1	20190817	2	2.43	1.0	2.0	1.0
1	2	20190816	2	2.29	1.33	2.0	2.0
2	2	20190815	2	2.14	1.67	2.0	2.0
2	2	20190814	1	2.14	1.67	1.0	2.0
2	1	20190813	1	2.43	1.0	2.0	1.0
1	1	20190812	1	2.57	0.67	2.0	1.0
1	1	20190810	2	3.0	0.5	2.5	0.5
1	2	20190809	1	3.0	0.5	2.5	0.5
2	1	20190808	3	3.2	0.8	3.0	1.0
1	3	20190807	5	3.2	0.8	3.0	1.0
3	5	20190806	4	3.0	1.0	3.0	1.0
5	4	20190805	1	3.0	1.0	3.0	1.0
4	1	20190803	2	2.6	1.4	2.0	1.0
1	2	20190802	2	2.67	1.0	3.0	0.5
2	2	20190801	2	2.5	1.25	3.0	1.0
2	2	20190731	3	2.43	1.0	2.0	0.0
2	3	20190730	2	2.43	1.0	2.0	0.0
3	2	20190729	1	2.5	0.0	2.5	0.0
2	1	20190727	1	2.71	0.33	3.0	0.0
1	1	20190726	2	2.5	1.25	3.0	1.0
1	2	20190725	1	2.5	1.25	3.0	1.0
2	1	20190724	1	3.0	0.5	3.0	0.0
1	1	20190723	3	3.0	0.5	3.0	0.0
1	3	20190722	2	3.0	0.5	2.5	0.0
3	2	20190720	2	2.83	0.75	2.5	0.5
